Series Number,Filename,Name,Description,Gender,Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strength. Weakness,UUID,sha256Hash
208,Grandma-Nanny,Grandma Nanny,A grandmother that does nothing but sleeps all day,female,,bfb63406-59ca-11ed-9b6a-0242ac120002,5a2d1d003ce71144d3d986f8335acece7b135c27d6bdacc2b1fe82e6f0ce6fde
209,Granpa-Willy,Granpa Willy,A grandfather that drinks beer and reads newspaper all day,male,,bfb6380c-59ca-11ed-9b6a-0242ac120002,17c62f166ab26f85aa6c3c1e41179c11c5d839d90e367edb8cd64283897c219a
210,Joshua-gang-leader,Joshua gang leader,A boy born to ritualist parents and now runs his own gang,male,,bfb63956-59ca-11ed-9b6a-0242ac120002,2b3a6e76bb4ed456b5e1eb89db4131ca0bf30725db0da4a99898b697ec60c98b
211,Karashika-queen,Karashika queen,A woman of the underworld that influences rich men into giving up their money,female,,bfb63a8c-59ca-11ed-9b6a-0242ac120002,4199dc0ea681d09367b90d96506e669e28f777dd201b3c0d17686c59bb1d7957
212,King-of-baldmen,King of baldmen,A man that was born bald and has never seen a hair on his head,male,,bfb63c62-59ca-11ed-9b6a-0242ac120002,b39e0682350236a3c9ad0450615a075e96e6cbc7bdad6473b4107d59dae0d597
213,Musa-masked-mouth,Musa masked mouth,Musa uses a tape to cover his mouth to prevent him from talking too much,male,,bfb63db6-59ca-11ed-9b6a-0242ac120002,5c9e6a6d75ac4b474d624f4dbc71a758a375bdb9864f676deb81fa8eb6210d23
214,Queen-of-smokers,Queen of smokers,A chronic smoker looking for a spouse that will join her to die of smoking,female,,bfb63ee2-59ca-11ed-9b6a-0242ac120002,aafeac0322791526a52a7442d358d4026260a6da46bacc41eeca29f0aa0dbf92
215,Redlips-man,Redlips man,A man that kissed a woman and got his lips burnt,male,,bfb64004-59ca-11ed-9b6a-0242ac120002,01479c8b47580a24a678cefb96aaa36ebde13e0410eac487e1d1420ed7fc5791
216,Sleevless-maid,Sleevless maid,A girl that nevers wears long cloths and gets herself thrown out of churches for indecent dressing,female,,bfb64338-59ca-11ed-9b6a-0242ac120002,a01c8479e4c4c2b14ad3a3d2626da8e8856262e405760dd51b1ac79dcb5be383
217,Stephen-bluecap,Stephen bluecap,Stephen always wears blue cap even to the church,male,,bfb6446e-59ca-11ed-9b6a-0242ac120002,e50c3135c287e4c910b25cf6557a0f6feeed26e3e055e9ed02370b7327f914e6
218,Tinubu-gateman,Tinubu gateman,Tinubu has been a gateman all his life. He was born to a gateman and his child will be a gateman,male,,bfb645a4-59ca-11ed-9b6a-0242ac120002,56764e5de57c4d6fda1c141bcec9519e817af407311c7bf8be7b5efbee77ea2f
219,Vampire-girl,Vampire girl,She dresses up as a vampire every haloween,female,,bfb64752-59ca-11ed-9b6a-0242ac120002,4eb1de974145bea55d5b4c570e690f631402235ac2aec20e6fe3dd708636a478
220,Yusuf-the-smoker,Yusuf the smoker,A chronic smoker with damaged lungs,male,,bfb648d8-59ca-11ed-9b6a-0242ac120002,2c15a7d9000bd1865a8e9639ae231e6a95993c6e44ec581eb8ddc6738b7cfac4
,,,,,,,
TEAM TAPE,,,,,,,
221,hng-newbie,hng newbie,A confused hng participant that cannot understand her project,Female,,0ddbd22c-b3bb-4c72-9f51-0361480bbfa7,e9f5c80307b8d8a5f5081e6d5473679e4530682f5afb0e2d909c1f949f1f7536
222,nene-caroline,nene caroline,A housewife that loves taking care of her family,Female,,4ce5bcf3-d4ed-4277-8187-cb1797c1ac7e,942451a49c77b42e9969bbe26a2c865d44a47df0191e208ea6e5820fe29200c9
223,wazo-partystopper,wazo partystopper,A Nigerian aunty that loves to attend owambe parties,Female,,77237cce-bae0-4d60-adad-27055f0eed39,d41d889e11e9cefc797deb8385f0e3b308da1bb58090b1cf10dd189309036ceb
224,melanin-janet,melanin janet,A young lady with a soft personality,Female,,a5a2854e-a850-4b15-b3c3-176a79b2d34b,d25a691704bd38f4fadd5e4883118dbf7a3e6aff92a1334c70c3d19b240f4f2b
225,leo-sugarmummy,leo sugarmummy,A middle age wild yankee returnee,Female,,7ec03993-f500-4a41-aa3c-a73df7a0fbed,6bb66e70c6c0fb696f1634e9da42d75d7216e604cafac2b110728edaa20b199b
226,novice-joane,novice joane,A princess worried about finding true love,Female,,a5d49163-41b1-43fe-ad7f-0c78ef530b1a,d35b9787e1ee5561001802c670bfa911014211c453c4e3cb7dd518b73fc491af
227,goofy-simbi,goofy simbi,An eccentric teenager that loves music,Female,,df7dc588-f99c-4592-84f6-08b40047d9d1,57907a5517d138e4d69cf9ca0978be8eacd5abba63d9b00a92a7a6c204341da8
228,akwaaba-ghana,akwaaba ghana,A depressed gothic introvert,Female,,d1e8b38b-994b-487c-890b-9034d3ab7dcb,92bde89eed8f982b84202a0632d760b12bb5ddb8cf6f2aa3b8599d98bee5b9eb
229,aunty-toyin,aunty toyin,An oversabi family member,Female,,1326ef4b-224a-497e-9452-e63a4486e387,44b6b45d0a333a876c5feb737526799e297466ced7694e92ad5b00b13122da92
230,pretty-hauwa,pretty hauwa,A young bride involved in an early marriage,Female,,7c771f82-a512-403c-91b9-6736318a8796,7798dcdef2087c8e7ad2918372549a999110a8ecd30b5c08e77e47de4cb38b92
231,chimamanda-enugu,chimamanda enugu,a young lady born during the war,Female,,eaad5c98-3f85-4480-9c4e-b73340cfba4f,9e2a6ebf7821dcf280e133be86f08c5054948eefe142e8c1f642d3ce43b082e2
232,kente-solape,kente solape,a respectful and diligent princess,Female,,613ce65c-4b16-43f8-a0d9-b5ea8c5f2195,546030eb9d8805300a8c0e3bd49ac82f16c1183ae81c4a5a5c67268d44a08005
233,vamp-karishika,vamp karishika,Queen of the darkness,Female,,c4ee8a54-0874-4a7f-8344-dea8ba41f5dc,0b619d2f252ed3918f4425f03eb9dfd383b41ef62b5a6767b22e94229f8ee463
234,genz-monique,genz monique,A sassy lady with her own vibe,Female,,b5328f13-b918-4e76-8d4c-8b4aec5eb5fe,57df8c9ce5e5b1af532a626526a03aebc294c4ecf750f15e1bb8cb62353b44ea
235,femi-boltz,femi boltz,A driver hustling his way through life,Male,,03e8d36d-5bdc-4da4-8f64-c1738eb9d1db,e28bdb65c77e547254daf1e666ce6a023633016dbd6dd413d11f66f10e4b5eed
236,agba-tech,agba tech,A tech bro that loves to party but has bad communication skill,Male,,403f28a0-6aa7-4f80-997f-b0982c169baa,da16b4506189efda19feef4b2aa6143bbcaeaf38a5e28ff29bb382c211f0c609
237,brian-richkid,brian richkid,A trust fund baby that does not know how to manage money,Male,,9d945d79-dd2d-4755-b9c7-bff837be8557,68ef27e2b71ada5553323c6e5adecd621fb2df97b4317ffea605bcddbaa8c48f
238,nandi-zulu,nandi zulu,A fierce African Queen,Female,,09702bc0-d10c-48d3-a1e9-2aaa4e9f3f39,2ca531263f497cf360703a8decad5fedbb8dd92ed521ca3ebb3a478c9d89bc7e
239,ade-demon,ade demon,A lekki playboy that makes money from crypto,Male,,0be2d50b-3e57-4e39-a199-b211d2be860c,b7f5e2b6e47d5d4dcdbccae7ebcf774ae7d827aba72d4784cdbe2eb79a6f504f
240,karim-rapper,karim rapper,A young and proud Lagos rapper,Male,,169b58f8-b84a-4ab3-a4b6-d1c5b36aa1d3,9bc726182547032a79951efaca40e8597625cdec3eb4ac7dd73ccb430b0b5685
,,,,,,,
TEAM AXLE,,,,,,,
241,bobo-alinco,bobo alinco,Alinco always in the mood for play,male,hair colour: dark brown,ede853c4-5abd-11ed-9b6a-0242ac120002,273784ef9df465905f370c7537875c866e96a4c60022f9761477573c85c0c015
242,chi-lastborn,chi lastborn,"Baby of the house, the lastborn of an average Nigerian family",female,,ede85964-5abd-11ed-9b6a-0242ac120002,49ff0f8d58f3bef882990927e710b8bd3bdffe2b1f00d0eb7f022c61cceb288f
243,uju-robo-robo,uju robo robo,An aso-oke business woman at balogun market,female,"accessories: ankara beret,",ede85f90-5abd-11ed-9b6a-0242ac120002,1dd6a9bb5ca70f906a4bd8d5186ca29c0ddc44d794232b4829ee8157fc9a1425
244,yetunde-anifowose,yetunde anifowose,Old money lady who was in UK before UK was UK,female,"accessories: tobaco pipe,",ede861b6-5abd-11ed-9b6a-0242ac120002,3f901a6bb25288b45ffa182d178040584427ababbb54f4d8d1e950cd78ad6e4e
245,dumebi-jjc,dumebi jjc,Innocent 100 level girl wey never spoil,female,,ede865da-5abd-11ed-9b6a-0242ac120002,515de2ba534d72e841cfdbb080b564eec61f8d7f67a325a89e947b0e5cf36b28
246,ukwu-nengi,ukwu nengi,Well endowed woman who will always make heads turn,female,,ede86800-5abd-11ed-9b6a-0242ac120002,e751952c47185211b1e0b953ecda3801ada6b777f169ec46ac90733e1412ab5c
247,nonso-malay,nonso malay,"Man on the move. It is either ego, or money my bloder",male,,ede86a12-5abd-11ed-9b6a-0242ac120002,1ca63b001196dcfb1777525431191c5b14f8b6f2c0664776345e57a6583cab82
248,saro-texaco,saro texaco,An oil tycoon who dominates,male,accessories: cap,ede86c2e-5abd-11ed-9b6a-0242ac120002,392bff67a236248a01d6f48e9b611bcf1a0208d25b2e66105868a181bfee7754
249,akpos-agbero,akpos agbero,A Warri boy always in the mood for violence,male,accessories: cap,ede86e22-5abd-11ed-9b6a-0242ac120002,03bc4c4982358153e04f3b3d9f456f13d637db9e55e38093c8af778823944edf
250,kasali-danfo,kasali danfo,A danfo driver popular for his positive outlook of life,male,accessories: cap,ede86fbc-5abd-11ed-9b6a-0242ac120002,86a4a184d343d839e67c603dfe1d786aa2b0d87e616992a394abc3c61b187710
251,osaz-benz,osaz benz,an Internet fraudster who hails from Edo state,male,teeth: gold,ede87fca-5abd-11ed-9b6a-0242ac120002,39dccdb60ec84b8c8963af369d02ad64357744d13b1b72050d44abcafd2d4acd
252,kareem-kasanova,kareem kasanova,Abuja big boy who knows he can get any lady he wants,male,accessories : cap,ede8820e-5abd-11ed-9b6a-0242ac120002,e2fce115a78683b7f3137b96c5958242b0190f12ca0807f86063c4782fb6a937
253,mayor-of-uyo,mayor of uyo,Essien is a top Lagos businessman who hails from Uyo,male,accessories: cap,ede883c6-5abd-11ed-9b6a-0242ac120002,680241a76ac79dc9bfc82d7f83c638c969d623eeecbd73e40e92a13769daa811
254,chinedu-china,chinedu china,An Nnewi blooded spareparts importer and exporter with goods from china,male,accessories: cap,ede885f6-5abd-11ed-9b6a-0242ac120002,c93b4de7b7cde481498089adbecf0fe8af761b5bcae24450f9c81e4a7717ce89
255,papa-ekene,papa ekene,The oldest man of the Akwauzu clan,male,accessories: cap,ede88808-5abd-11ed-9b6a-0242ac120002,7a6bc08832dfcce29a621e89ae7b365564d2da2a62cb0055bdc3b1894f123e3b
256,ogbeni-rauf,ogbeni rauf,Minister of enjoyment for Freedom state,male,"teeth: gold, accessories: cap",ede889fc-5abd-11ed-9b6a-0242ac120002,597fdc2846374ca2c9c975ab1ddcc2cc9b5d1f2e7fddc8745e0e5457e0b6ee18
257,koffi-banku,koffi banku,E be Charlie wey no dey use en stomach play,male,,ede88c2c-5abd-11ed-9b6a-0242ac120002,f3b48adb5aa98357425425422ccea226a06cf6eeed64933bd1960a9c9a7d0be2
258,alhaji-bello,alhaji bello,Rich hausa business mongul controlling half of cow production in Nigeria,male,teeth: gold accessories: cap,ede88efc-5abd-11ed-9b6a-0242ac120002,a6f372be61cad1de3dfc3e8a79a68da517ab21875df0c7bd1294431c86155517
259,toju-mafejopami,toju mafejopami,Toju is a street hustler wey no like stress,male,"teeth: gold, accessories: cap",ede895d2-5abd-11ed-9b6a-0242ac120002,3b2fad41ef1c692ca1b0d8fecb28d1ea953ac54aca42ef14f55269ed6b36402f
260,femi-maserati,femi maserati,"Rich kid who resides in lekki, known by everybody because he drives a Maserati",male,accessories: cap,ede89802-5abd-11ed-9b6a-0242ac120002,7b8b578b513441ef9608adc4765ae53a7c83ef1a5e35528149c142eefc6e4390
,,,,,,,
TEAM POWERDRILL,,,,,,,
261,Paul-the-comedian,Paul the comedian,Paul trying hard to make everyone laugh so hard and fall off the chair,Male,"hair:black, eyes: glasses, Teeth: none, clothing: Black and yellow V neck, Expression: cool, Strength: Trustworthiness, Weakness: slow",f8112915-64ca-41e5-9ca4-5b60c47d7a01,48f5975496ea0ab7794d6f7d4b78a0beba7a296713fbff9dec40a0248f9ba816
262,Amina-lagos-housewife,Amina lagos housewife,Amina is always showing the rich housewife vibes,Female,"hair:red, eyes: blue, Teeth: none, clothing: blue and yellow ankara, Expression: straight face, Strength: Fashionista, weakness: exorbitant",5612f542-d85e-4a2c-8661-20553dfd07bf,bb48eda2512dd310c7b7877ade1be81835c0d4ceabeaf7fed13b7bc6a356d607
263,Kiekie-the-asoebibella,Kiekie the asoebibella,Kiekie is classfied as the life of the party,Female,"hair:purple, eyes: grey, Teeth: none, clothing: blue and yellow ankara, Expression: smile, Strength: helpful ",097014d5-0ef3-46f5-9a9b-5c01f70114b3,fdab249934f45af85bcca408959337833014ff0171d4b67302959c5711db1743
264,Kunle-the-hunter,Kunle the hunter,Kunle goes for the best and hits all his targets at bull's eye,Male,"hair:black, eyes: blue, Teeth: none, clothing: one handed yellow ankara, Expression: smile, Strength: Fast, Weakness: cannot speak english",b0310fc2-4bed-48e5-abfc-566c964786d7,06e2dbc9d8c54d676cfed926bcab3b5e01f5c950a4c8cd68c3cc502e29faafb5
265,Amara-the-hairstylist,Amara the hairstylist,Amara is truly your one stop shop for all your hair & beauty needs.,Female,"hair:purple, eyes: grey, Teeth: none, clothing: multicolour ankara, Expression: none, Strength: multitasker, Weakness: unfriendly",412345b9-7e04-4102-af7c-5458721ac64d,9c6a281ec62151d824d2b1f70b9b29f7b167bda6662f9d61ba41d40ff7a7e8f8
266,Mary-nail-technician,Mary nail technician,Mary makes magic with her press-on nails,Female,"hair:red, eyes: grey, Teeth: none, clothing: multicolour ankara, Expression: none, Strength: hustler, Weakness: uncoordinated",17ea9c3b-c90f-4023-84d6-d563c098b030,166ee5349fe42f66b93449873d8621afa689713e607739af058be4ca30483dc6
267,Odogwu-oil-contractor,Odogwu oil contractor,"From Malaysia to Kaduna, Odogwu's oil is known.",Male,"hair:black, eyes: black with glasses, Teeth: none, clothing: brown and gold guniea, Expression: none, Strength: hustler, Weakness: Taking criticism.",b503bbfb-f972-4d4a-9352-e9dfe6671d36,2d78f41627d9c4513b9bd1af540c5dd58591bff605aa0d45077371801fd4d629
268,Simisola-the-kenteprincess,Simisola the kenteprincess,Simisola rocks kente even in swim outfits,Female,"hair:brown, eyes: blue, Teeth: none, clothing: multicolour yellow kente, Expression: smiling, Strength: Patience, Weakness: Self-criticism",45843017-b421-4413-8e35-7a6ef073f2b9,c7ee498ebfda8797d76c3211515a645573b144d94f9d7f513d95b020422131c6
269,Mariam-beauty-queen,Mariam beauty queen,Beauty is a fairy tale where Mariam appears.,Female,"hair:orange, eyes: grey, Teeth: none, clothing: multicolour yellow kente, Expression: straight face, Strength: Disciplined, Weakness: Inability to delegate",b7d96d97-84c2-485f-b60e-e4e86c4d3b34,01e505723651637a76dc427e51b1ac9b11afe4d9ec3e9f471d29bb598a9cac90
270,Obinna-the-musician,Obinna the musician,Obinna might never be an a-list artist,Male,"hair:black, eyes: black with glasses, Teeth: none, clothing: red v-neck ankara, Expression: none, Strength: delegation, Weakness: Lack of experience",afdb0299-327c-46b2-9262-faf90f0fcd12,b7194b2835126fac1cb5e65b505cf5b3d708cb53bcd2efcef125fa0b633c7646
271,Sandra-the-shybaby,Sandra the shybaby,Sandra is too shy at parties,Female,"hair:orange, eyes: blue, Teeth: none, clothing: yellow off shoulder, Expression: none, Strength: Friendly, Weakness: Shyness",bfed40a8-74f7-4ada-ae18-975130247efa,3a02e7806ba9346cf2febe56a8ebf474c11cd597d43a15418e19bf04d4eb77ea
272,Chiamaka-the-dancer,Chiamaka the dancer,Chiamaka dances so well and earned the Guinness world record.,Female,"hair:black, eyes: grey, Teeth: none, clothing: yellow off shoulder, Expression: none, Strength: Creativity, Weakness: Lack of confidence",43c49497-8d7b-42ef-bb29-769f6c3b0ada,db6544a59e2b1f53a09216bf179339bcfab9aa507510a48c6a505c9549e3bf4b
273,Mensah-fashion-icon,Mensah fashion icon,Mensah outfits are always giving us Christopher Hemsworth vibes.,Male,"hair:black, eyes: black with glasses, Teeth: none, clothing: Gold with kente, Expression: none, Strength: Public speaking, Weakness: Lack of experience",87ada09b-38ac-475c-8d46-18680c2dc795,03c903becfa40b7e7ecc263a8303b1d0756bde76a5678ff3418a679a6f5e4fd3
274,Lucy-the-fumigator,Lucy the fumigator,Lucy is nicknamed the pest hilter,Female,"hair:red, eyes: blue, Teeth: none, clothing: multicolour ankara, Expression: none, Strength: Determination, Weakness: Self-criticism",c7269d44-aab3-41e7-a54f-18a14f575a6b,c9dc5c039161753d516a50793f53ede4222209a5c74741ed123464c45e8cbfb1
275,Nneka-wedding-planner,Nneka wedding planner,Nneka plans the best weddings with great details.,Female,"hair:brown braids, eyes: grey, Teeth: none, clothing: multicolour ankara, Expression: none, Strength: hard worker, Weakness:Analytical skills",31ac6b7a-e378-4dc3-999d-b9e8d8473f99,0ad9ab426b0de8b8d3767075235c4e6ab838585286e6bedea6d44abc6a6e1400
276,Shakira-the-gangster,Shakira the gangster,Shakira is the most feared criminal.,Female,"hair:brown braids, eyes: grey, Teeth: none, clothing: gold and brown, Expression: none, Strength: Intentional, Weakness: Rash in decisin making",dbdc1351-aa07-46e2-935f-2db071b1b23d,c9c1b7d26e6cef58c83f447d4c808ddc0c21496e29e325f443c22d36c0580008
277,Lola-afropopping-princess,Lola afropopping princess,Lola licks lollipops like an afropop queen,Female,"hair:brown afro, eyes: closed, Teeth: none, clothing: black ankara, Expression: none, Strength: great communicator, Weakness:writing",2f5cadae-e423-4478-8220-37b3ac144169,410ea9c81373174f058a0b84bb8d6847306c7d81ea9f74c3b4fccdf887c9635c
278,Sharon-walking-dead,Sharon walking dead,When tired Sharon walks like the dead,Female,"hair:dark brown, eyes: closed, Teeth: open teeth, clothing: blue ankara, Expression: loud, Strength: people skills, Weakness:Empathy",1fc37341-7dd1-480c-a01b-a63bee0a2230,1d6966e34d6ecfd20c75ffa7aa386d6c69a42b941a87cdc8f5e39d3f54d06402
279,Olivia-great-teacher,Olivia great teacher,Students enjoys Olivia's classes,Female,"hair:dark brown, eyes: closed, Teeth: none, clothing: multicolour ankara, Expression: none, Strength: Empathy, Weakness: Computer literacy.",cfc4419e-bd46-40f6-9654-632ac1138ff1,0f2ee74065a8c19bc831899c5f10ebda5c0446709141b2b5bc352e1d97a8af82
280,Nicole-sleep-warrior,Nicole sleep warrior,"Nicole holds the sleep award in our community, she wouldn't wake up at the sound of a detonated nuclear bomb.",Female,"hair:black, eyes: closed, Teeth: none, clothing: multicolour ankara with red base, Expression: none, Strength: Leadership, Weakness: Initiative.",710ae821-4603-4124-bd60-a33b515b3b8d,869f58e51ce96147b9b89ade9f1dc774e20199a7d2fbb0523a70c8f06e18182a
,,,,,,,
TEAM HYDRAULICS,,,,,,,
281,Busola-the-shakara,Busola the shakara,She is a fashion icon that loves luxurious items.,Female,Hair: Brown Eyes: Shades Teeth: Closed Clothing: Yellow and blue Ankara Accessories: Shades Expression: Passive Strength: Confident Weakness: Over-spending,ec4a855a-5ceb-4f1b-bbd7-a995aa45e875,d3c55602e32f314312adfd2c0e0cfece6bedb60b4e3914bf55646e81e29bb909
282,Bella-the-artist,Bella the artist,A lady that host a fashion week show,Female,Hair: Blond Eyes: Shades Teeth: Closed Clothing: Black and yellow Ankara Accessories: Shades Expression: Straight-face Strength: Creativity Weakness: Perfectionist,48772412-dacb-4984-9e82-8d24fe101265,81960ec018d0a54b9815daa3f259ab37d08fcce0c18021dff1341ac85a59efc5
283,Queen-the-extrovert,Queen the extrovert,A woman who enjoys being high all the time,Female,"Hair: Brown Eyes: Shades Teeth: Closed Clothing: Multi-colored Ankara Accessories: Shades, smoking pipe Expression: Sassy Strength: Self-assured Weakness: Conceited ",1712532a-20d9-4ccb-8582-bffd76c9fb67,fd3fcc7a8a4f23193c08344ecc911f7b970ba39e1ad01fd2bcdea5393cdca6f2
284,Mary-toxic-lady,Mary toxic lady,A lady who's toxic around people,Female,Hair: Two buns Eyes: Shades Teeth: White Clothing: Animal prints Accessories: Shades Expression: Angry Strength: Bully Weakness: Insecurity,bc31af8d-c45d-4797-adfc-596fb22e4e3a,8709d456f346e9a844f20b357dddcb15ed4f3ecb6c4ff93016a14de8c81bf7d3
285,Elizabeth-the-richkid,Elizabeth the richkid,A university undergraduate from a rich background,Male,Hair: Blond Eyes: Shades Teeth: Closed Clothing: Blacktop Accessories: Shades Expression: Straight-face Strength: Wealth Weakness: Lack of real friends,21fad782-1b6f-4c2d-b157-9fdb9355c876,15a70b4164e335bb4870d4f1e67e1ca8166c4487ee937b770399afede99fe130
286,Larry-the-westerner,Larry the westerner,A Yoruba Man who smokes his pipe in peace,Male,"Hair: Covered Eyes: White Teeth: Closed Clothing: Purple and yellow Agbada Accessories: Cap, smoking pipe Expression: Passive Strength: Likes to be in control Weakness: Lazy",d4984fa6-dabf-409f-839f-76742ec71500,1b77682eae873f458a746f92372f2b74da219bfd12598d53b82da42c23df7fb6
287,Danjuma-the-shocked,Danjuma the shocked,A pensioneer who got told his bank is on distress,Male,Hair: Covered Eyes: White Teeth: White Clothing: Wrapper across one shoulder Accessories: Cap Expression: Shocked Strength: Hard-worker Weakness: Shyness,0187ca7f-f3b1-42ae-9e17-c46d58617608,9a1175efd7014dfd7b01c7e6098089abdba1651aa25fa0bc4c83654208736fba
288,Yomi-the-fashionista,Yomi the fashionista,Winner of the Lagos GT Bank fashion week.,Male,Hair: Covered Eyes: White Teeth: White Clothing: Wrapper across one shoulder Accessories: Cap Expression: Shocked Strength: Hard-worker Weakness: Lack of wealth,16d256ba-dc4e-4559-ae41-59779f351ad3,54611b0ccb5bd2fc95fd1e92ec7d6a8523d0525b9cba01940657c7c63c9aad82
289,Ibu-the-importer,Ibu the importer,A rich igbo trader who imports goods in onitsha market,Male,Hair: Covered Eyes: Light blue Teeth: White and a gold tooth Clothing: Isi-agu Accessories: Cap Expression: Straight-face Strength: Wealth Weakness: Irrational,d3edc876-3f2f-4699-a376-0787bb06c5d5,93875ebff32e0da2ff673fb33dbfc35b40375aae6129edf6a90c6af731209a90
290,Massa-the-ghanian,Massa the ghanian,A rich Ghanian trader.,Male,Hair: Covered Eyes: Closed Teeth: White Clothing: Akan Accessories: Cap Expression: Happy Strength: Wealth Weakness: Irrational,9a9a5fbd-7a3c-469c-95f2-50303c2e9fc8,b4199bc9193347af3dc667901688e4b7bda561761ccec76eb239d1b3815a7af6
291,James-the-musician,James the musician,A yoruba juju artist,Male,Hair: Brown Eyes: Closed Teeth: White Clothing: Akan Accessories: None Expression: Happy Strength: Good voice Weakness: Womanizer,0d4ad447-3836-47cd-8387-066b200cda01,9aa323662d596f5db2d0ff50eba02c9b6c6b46020841c0745c96f0cfaca61110
292,Gbenga-titled-man,Gbenga titled man,A yoruba chief who is also a car dealer,Male,Hair: Brown Eyes: Closed Teeth: White Clothing: Akan Accessories: None Expression: Happy Strength: Good voice Weakness: Womanizer,dc6c1a39-ec78-44ca-8296-68c6de7b5de4,028f8d7db55978bc382bb377c30824388f8a44ad14fb5f878a628efb281147ec
293,Abaga-the-rapper,Abaga the rapper,A flashy millionaire and a music rapper,Male,,c428411c-5a06-4b74-bd17-e53b76f9fc6c,aae32a1bb029e279249322a81ca49549abb6f1a539cec894976ee7f18e36c14c
294,Izuchukwu-the-fisherman,Izuchukwu the fisherman,A fisherman who knows how to paddle well,Male,,15e1caf2-06b3-45d8-9b35-f95965b64e34,74eff1f76f70d7753f4d47c07f221bffb13360c91fdb67aa60aaf3c87a719431
295,Mark-the-philanthropist,Mark the philanthropist,A London based philantropist.,Male,,b48cbd98-96c2-4ec4-9d17-2c798be5b90f,c9fb305ff39beb6b9cfb72bd6cf904f43f69269c69d901540c63c155dfa931c9
296,Desmond-the-politician,Desmond the politician,A young politician who just became a minister,Male,,c52d4fbb-622b-4e2b-85a9-1a1d0f3d97d6,f2025e24bec1671af07f51c71c07bd2c08073a14d7b6c429bc2e6174049dc793
297,Okoro-the-bachelor,Okoro the bachelor,A local palm wine tapper with hopes and dreams,Male,,e441439d-49a3-41eb-bf9d-3c7f98c268bf,951d7eb4d52ea33412ae3a8846e3d6d6adc88f087b05df75cc25a8c4415c9827
298,Saro-the-clothemaker,Saro the clothemaker,The yoruba man that stole the king's wife.,Male,,7e10af4e-1252-4f96-83a8-78411e152bae,2f6d2c3abc31e0dd98ed6d360c5a3862c4219260aa52a2e0d47b41d5f3dd0e09
299,Kalu-the-ichie,Kalu the ichie,A man of wealth with afluence spreading all over the east,Male,,482ab247-73a4-4ff8-9172-732f3d0729b8,6189ffeec9e7777202809499344b9c3374e8d6db538ab827d176ec5849f47c6c
300,Tamuno-the-prince,Tamuno the prince,An Ijaw prince who is also the heir to the throne,Male,,108447d1-f2d5-4816-8ebb-599286c3fabf,f825a5458bcef9fe7d731fb236a87ca831b7a9e268e0198fcb132006ab9d9f02
,,,,,,,
TEAM SCALE,,,,,,,
301,wendy-the -banker,wendy the  banker,"Wendy loves working in the bank, as she gets to meet different people.",Female,,587645e2-5ace-11ed-9b6a-0242ac120002,b23e57d267b9bb32869243c69ea10673f4998d19ca0963f44fb94b6539115749
302,uduak-the -dark horse,uduak the dark horse,Uduak looks innocent and has the whole apartment bugged,Female,,58764862-5ace-11ed-9b6a-0242ac120002,ae41e1ad0ce2d101137fe7dee78baf57799f47c05e4f3e97d39dda91c20851d7
303,timeyin-the -eccentic,timeyin the eccentic,Timeyin is as eccentric as they come with no care for others opinions,Female,,58764a2e-5ace-11ed-9b6a-0242ac120002,2e89160284291568f6e5c434ce82e4fe7a287d4654b276ec529d8d3fa286e728
304,omawunmi-the -businesswoman,omawunmi the businesswoman,Omawunmi is a no-nonsense woman with a shop in idumota,Female,,58764b78-5ace-11ed-9b6a-0242ac120002,cc8fcb2cda8e0428a7539b58e189181941b70760a9d6041b52c051c6ebf32e48
305,halima-the-housewife,halima the housewife,Halima loves to bake and cook for her children,Female,,58764d8a-5ace-11ed-9b6a-0242ac120002,51c8dd976f06ab25e5792f0bef828b53567a521b1e31a89e0b08a16eb59a7b2d
306,muna-the -block sister,muna the block sister,Muna loves to tell everyone in the block about her younger escapades,Female,,58764ea2-5ace-11ed-9b6a-0242ac120002,f4c5b6f71a54996a8931095b04bf62b1e4d0e1fd454a5125c50315eb3ee71a08
307,stella-the -gossip,stella the gossip,Nobody gossips on the block like stella when smoking.,Female,,58764fd8-5ace-11ed-9b6a-0242ac120002,0b2a98c4325d87522e60d9f60d82b39e686620b83ab41e67c9fdb532b30e8aae
308,agbani-the-wannabe,agbani the wannabe,Agbani loves to shop antique ndecorations for her mansion in idi-iroko,Female,,5876542e-5ace-11ed-9b6a-0242ac120002,ba726faeed81eb069d8d8d38574ec022ad514f32cd3f2ffd35d0f5d3d18e2b17
309,asante-the -warrior,asante the warrior,Asante came from along line of warriors in Ghana,Female,,58765578-5ace-11ed-9b6a-0242ac120002,433cb3295ec27d2cf292bdfd2edcc6700e05840b100483f5f1c5c9e07c4fc26c
310,hilda-the -insomaniac,hilda the insomaniac,Hilda prefers to sleep during the day,Female,,5876569a-5ace-11ed-9b6a-0242ac120002,64267c5efd8cdce7460e83531b8eb9e676a7519b63415070d58318b788f8b803
311,sisi yemi-the -street aunty,sisi yemi the street aunty,Sisi Yemi is everyone's favourite street aunty.,Female,,587657a8-5ace-11ed-9b6a-0242ac120002,bc474a81c509e0549500452c38e6fc54411dd69e071120098377d4459e85bb3e
